Date,Open,High,Low,Close,Adj Close,Volume
16-May-24,880,880,845,870,870,"667,700"
15-May-24,905,905,835,860,860,"3,460,400"
14-May-24,935,935,885,905,905,"2,280,700"
13-May-24,920,965,920,925,925,"666,300"
8-May-24,925,940,920,920,920,"587,200"
7-May-24,935,955,925,925,925,"756,200"
6-May-24,960,975,935,955,955,"348,700"
3-May-24,965,965,945,960,960,"196,700"
2-May-24,960,990,950,965,965,"579,400"
30-Apr-24,965,970,950,960,960,"142,700"
29-Apr-24,965,990,925,965,965,"477,800"
26-Apr-24,"1,005.00","1,005.00",950,950,950,"2,107,400"
25-Apr-24,"1,055.00","1,060.00","1,005.00","1,005.00","1,005.00","1,044,800"
24-Apr-24,"1,015.00","1,060.00",965,"1,050.00","1,050.00","2,302,500"
23-Apr-24,"1,010.00","1,015.00",955,"1,015.00","1,015.00","505,400"
22-Apr-24,925,"1,010.00",925,"1,010.00","1,010.00","1,754,800"
19-Apr-24,955,965,920,925,925,"916,100"
18-Apr-24,975,990,945,955,955,"419,600"
17-Apr-24,"1,010.00","1,010.00",950,965,965,"484,400"
16-Apr-24,980,"1,010.00",950,"1,010.00","1,010.00","896,800"
5-Apr-24,"1,000.00","1,005.00",975,975,975,"673,800"
4-Apr-24,955,"1,020.00",955,"1,000.00","1,000.00","2,607,600"
3-Apr-24,955,980,945,950,950,"1,135,200"
2-Apr-24,985,"1,000.00",950,955,955,"1,507,400"
1-Apr-24,"1,070.00","1,070.00",980,985,985,"1,349,800"
28-Mar-24,975,"1,050.00",970,"1,040.00","1,040.00","1,968,700"
27-Mar-24,"1,000.00","1,005.00",965,975,975,"2,508,800"
26-Mar-24,"1,005.00","1,005.00","1,005.00","1,005.00","1,005.00",-
25-Mar-24,"1,005.00","1,005.00","1,005.00","1,005.00","1,005.00",-
22-Mar-24,"1,020.00","1,035.00",975,"1,005.00","1,005.00","2,447,400"
21-Mar-24,"1,120.00","1,120.00","1,015.00","1,020.00","1,020.00","2,935,100"
20-Mar-24,"1,110.00","1,165.00","1,080.00","1,090.00","1,090.00","6,837,300"
19-Mar-24,"1,155.00","1,155.00","1,100.00","1,100.00","1,100.00","2,272,800"
18-Mar-24,"1,135.00","1,175.00","1,110.00","1,155.00","1,155.00","1,287,100"
15-Mar-24,"1,160.00","1,175.00","1,115.00","1,135.00","1,135.00","1,068,700"
14-Mar-24,"1,195.00","1,200.00","1,135.00","1,155.00","1,155.00","2,055,200"
13-Mar-24,"1,155.00","1,250.00","1,100.00","1,195.00","1,195.00","4,046,100"
8-Mar-24,"1,150.00","1,175.00","1,050.00","1,165.00","1,165.00","3,423,400"
7-Mar-24,"1,200.00","1,245.00","1,150.00","1,170.00","1,170.00","2,267,300"
6-Mar-24,"1,210.00","1,215.00","1,105.00","1,180.00","1,180.00","4,442,100"
5-Mar-24,"1,250.00","1,265.00","1,200.00","1,210.00","1,210.00","2,750,500"
4-Mar-24,"1,245.00","1,315.00","1,215.00","1,250.00","1,250.00","9,143,100"
1-Mar-24,"1,200.00","1,265.00","1,135.00","1,230.00","1,230.00","14,353,200"
29-Feb-24,"1,035.00","1,190.00","1,030.00","1,180.00","1,180.00","13,810,300"
28-Feb-24,"1,110.00","1,230.00","1,040.00","1,050.00","1,050.00","24,321,900"
27-Feb-24,945,"1,105.00",940,"1,100.00","1,100.00","14,296,000"
26-Feb-24,925,950,915,930,930,"2,859,600"
23-Feb-24,930,950,900,925,925,"3,171,300"
22-Feb-24,900,950,900,930,930,"2,712,900"
21-Feb-24,915,915,890,900,900,"2,406,400"
20-Feb-24,925,965,895,920,920,"4,371,900"
19-Feb-24,975,"1,030.00",925,925,925,"14,113,900"
16-Feb-24,965,"1,000.00",920,970,970,"20,296,800"
15-Feb-24,860,980,845,970,970,"39,770,000"
13-Feb-24,895,900,840,860,860,"11,800,200"
12-Feb-24,830,890,830,890,890,"12,689,400"
7-Feb-24,825,845,825,830,830,"6,668,200"
6-Feb-24,845,885,800,845,845,"16,335,900"
5-Feb-24,800,845,800,845,845,"9,972,800"
2-Feb-24,805,820,795,800,800,"3,961,600"
1-Feb-24,755,805,750,800,800,"10,498,300"
31-Jan-24,725,765,725,760,760,"7,769,900"
30-Jan-24,725,735,720,725,725,"2,526,100"
29-Jan-24,730,740,725,730,730,"1,520,100"
26-Jan-24,740,740,720,730,730,"1,636,100"
25-Jan-24,715,740,705,740,740,"4,260,600"
24-Jan-24,720,720,710,715,715,"1,464,200"
23-Jan-24,705,715,700,715,715,"2,537,200"
22-Jan-24,685,705,680,705,705,"2,820,600"
19-Jan-24,670,685,665,685,685,"3,091,400"
18-Jan-24,670,675,665,670,670,"984,000"
17-Jan-24,675,675,655,670,670,"2,180,700"
16-Jan-24,670,680,655,675,675,"2,549,300"
15-Jan-24,685,685,685,685,685,-
12-Jan-24,685,700,670,685,685,"2,489,700"
11-Jan-24,700,710,660,685,685,"7,348,000"
10-Jan-24,705,710,700,700,700,"1,096,400"
9-Jan-24,710,715,705,705,705,"1,298,700"
8-Jan-24,710,715,705,710,710,"1,588,700"
5-Jan-24,710,715,705,710,710,"752,500"
4-Jan-24,710,710,705,710,710,"413,600"
3-Jan-24,705,715,700,710,710,"2,736,700"
2-Jan-24,705,715,705,705,705,"843,700"
29-Dec-23,705,710,705,705,705,"283,600"
28-Dec-23,710,715,705,705,705,"1,436,800"
27-Dec-23,715,720,710,710,710,"982,800"
22-Dec-23,710,715,705,715,715,"943,600"
21-Dec-23,710,715,705,710,710,"824,500"
20-Dec-23,710,725,710,710,710,"1,611,300"
19-Dec-23,710,725,705,705,705,"2,988,100"
18-Dec-23,725,735,710,710,710,"3,228,200"
15-Dec-23,730,740,720,725,725,"1,543,800"
14-Dec-23,715,740,705,730,730,"9,275,900"
13-Dec-23,705,720,705,710,710,"6,239,200"
12-Dec-23,710,720,705,705,705,"1,386,500"
11-Dec-23,705,715,700,710,710,"4,427,600"
8-Dec-23,710,715,705,705,705,"2,527,400"
7-Dec-23,720,725,700,715,715,"5,448,600"
6-Dec-23,715,735,710,720,720,"6,277,300"
5-Dec-23,720,735,710,715,715,"6,325,000"
4-Dec-23,710,720,710,720,720,"3,191,300"
1-Dec-23,715,725,710,720,720,"2,374,700"
30-Nov-23,710,725,710,715,715,"2,523,400"
29-Nov-23,720,735,710,710,710,"5,327,200"
28-Nov-23,800,800,725,725,725,"3,708,600"
27-Nov-23,740,765,725,750,750,"9,091,300"
24-Nov-23,730,735,720,735,735,"3,141,100"
23-Nov-23,710,745,705,730,730,"8,372,000"
22-Nov-23,715,720,705,710,710,"1,730,700"
21-Nov-23,740,745,710,715,715,"2,759,000"
20-Nov-23,740,750,730,740,740,"1,629,000"
17-Nov-23,750,750,725,740,740,"4,690,900"
16-Nov-23,745,760,745,750,750,"3,770,600"
15-Nov-23,715,765,710,745,745,"20,309,200"
14-Nov-23,700,715,700,715,715,"1,979,700"
13-Nov-23,705,710,700,700,700,"1,112,000"
10-Nov-23,715,715,705,705,705,"2,431,500"
9-Nov-23,715,715,705,715,715,"705,300"
8-Nov-23,710,720,710,715,715,"755,000"
7-Nov-23,720,720,700,710,710,"4,334,000"
6-Nov-23,720,725,715,720,720,"1,558,200"
3-Nov-23,710,720,705,720,720,"2,490,900"
2-Nov-23,705,710,705,710,710,"318,800"
1-Nov-23,710,710,700,700,700,"1,342,700"
31-Oct-23,705,710,700,710,710,"998,300"
30-Oct-23,705,715,705,705,705,"1,414,800"
27-Oct-23,710,715,705,705,705,"1,355,700"
26-Oct-23,715,720,705,705,705,"2,031,000"
25-Oct-23,710,720,710,715,715,"2,042,700"
24-Oct-23,705,710,705,705,705,"830,600"
23-Oct-23,705,710,700,705,705,"1,976,900"
20-Oct-23,700,710,700,705,705,"1,223,400"
19-Oct-23,710,710,700,700,700,"2,802,800"
18-Oct-23,725,730,705,710,710,"4,519,800"
17-Oct-23,710,735,705,725,725,"4,275,100"
16-Oct-23,705,715,700,705,705,"1,996,600"
13-Oct-23,710,715,705,705,705,"2,873,500"
12-Oct-23,710,710,690,705,705,"5,471,500"
11-Oct-23,715,720,705,710,710,"3,531,400"
10-Oct-23,705,725,705,710,710,"3,756,300"
9-Oct-23,715,720,705,705,705,"2,022,000"
6-Oct-23,715,720,705,715,715,"2,669,800"
5-Oct-23,725,730,710,720,720,"9,406,700"
4-Oct-23,725,725,705,720,720,"3,671,400"
3-Oct-23,735,740,720,720,720,"3,649,200"
2-Oct-23,705,735,705,735,735,"4,165,100"
29-Sep-23,730,735,705,705,705,"7,305,300"
27-Sep-23,740,760,730,730,730,"8,101,800"
26-Sep-23,840,845,735,740,740,"31,671,100"
25-Sep-23,825,865,820,840,840,"19,458,700"
22-Sep-23,835,840,815,820,820,"11,393,400"
21-Sep-23,775,855,775,830,830,"28,647,800"
20-Sep-23,780,810,770,775,775,"10,832,500"
19-Sep-23,770,815,770,785,785,"23,821,300"
18-Sep-23,720,780,720,765,765,"27,100,100"
15-Sep-23,710,725,710,720,720,"4,037,700"
14-Sep-23,725,730,685,710,710,"9,887,600"
13-Sep-23,735,735,725,725,725,"3,391,300"
12-Sep-23,745,750,725,735,735,"5,668,700"
11-Sep-23,730,740,730,735,735,"4,731,400"
8-Sep-23,730,735,720,725,725,"3,401,800"
7-Sep-23,740,750,720,720,720,"5,789,400"
6-Sep-23,725,735,715,735,735,"3,477,000"
5-Sep-23,720,735,715,715,715,"2,370,300"
4-Sep-23,725,730,720,720,720,"2,087,500"
1-Sep-23,710,735,710,725,725,"4,805,200"
31-Aug-23,730,730,705,715,715,"7,423,100"
30-Aug-23,720,750,720,730,730,"6,334,600"
29-Aug-23,750,770,720,720,720,"14,566,100"
28-Aug-23,720,760,700,750,750,"29,405,800"
25-Aug-23,710,750,695,710,710,"24,550,700"
24-Aug-23,695,710,685,710,710,"6,406,900"
23-Aug-23,700,720,690,690,690,"9,670,500"
22-Aug-23,655,720,650,700,700,"29,824,700"
21-Aug-23,660,665,650,655,655,"1,662,500"
18-Aug-23,650,660,635,655,655,"8,346,600"
16-Aug-23,660,665,620,650,650,"4,308,700"
15-Aug-23,655,680,655,660,660,"4,979,800"
14-Aug-23,660,665,645,655,655,"3,063,600"
11-Aug-23,660,675,645,660,660,"10,730,500"
10-Aug-23,655,665,650,655,655,"1,669,600"
9-Aug-23,655,660,650,655,655,"2,162,500"
8-Aug-23,645,655,640,650,650,"4,908,700"
7-Aug-23,640,645,635,645,645,"2,560,300"
4-Aug-23,640,650,635,640,640,"1,173,900"
3-Aug-23,640,645,630,640,640,"4,126,800"
2-Aug-23,630,650,620,645,645,"8,033,300"
1-Aug-23,645,645,620,635,635,"6,724,800"
31-Jul-23,650,655,630,630,630,"11,610,400"
28-Jul-23,650,655,635,650,650,"7,292,500"
27-Jul-23,675,680,645,650,650,"7,787,800"
26-Jul-23,640,685,635,675,675,"9,200,500"
25-Jul-23,655,660,640,640,640,"10,154,500"
24-Jul-23,680,680,650,655,655,"7,764,600"
21-Jul-23,675,685,660,680,680,"11,045,700"
20-Jul-23,650,685,645,675,675,"17,991,300"
18-Jul-23,625,650,625,650,650,"10,298,500"
17-Jul-23,650,650,610,630,630,"7,128,900"
14-Jul-23,615,630,615,615,615,"4,028,500"
13-Jul-23,615,625,615,615,615,"4,050,000"
12-Jul-23,630,630,615,615,615,"2,741,800"
11-Jul-23,625,630,620,620,620,"3,488,300"
10-Jul-23,645,645,620,625,625,"4,183,500"
7-Jul-23,630,640,625,640,640,"4,675,300"
6-Jul-23,665,685,610,630,630,"26,477,300"
5-Jul-23,630,680,630,665,665,"16,155,600"
4-Jul-23,620,650,615,630,630,"8,629,500"
3-Jul-23,630,640,600,620,620,"6,486,300"
27-Jun-23,620,640,615,630,630,"6,089,500"
26-Jun-23,635,645,610,620,620,"8,678,000"
23-Jun-23,655,655,635,635,635,"4,804,300"
22-Jun-23,655,665,650,655,655,"6,792,300"
21-Jun-23,635,680,635,655,655,"10,583,300"
20-Jun-23,650,660,620,635,635,"4,299,200"
19-Jun-23,610,645,605,635,635,"7,797,200"
16-Jun-23,610,615,605,610,610,"3,190,700"
15-Jun-23,605,615,600,610,610,"4,121,800"
14-Jun-23,635,645,610,610,610,"1,342,100"
13-Jun-23,620,635,610,620,620,"6,481,000"
12-Jun-23,625,635,615,620,620,"3,685,800"
9-Jun-23,630,635,610,625,625,"3,949,300"
8-Jun-23,630,645,620,630,630,"2,642,200"
7-Jun-23,610,635,610,625,625,"5,601,400"
6-Jun-23,620,620,605,610,610,"3,944,200"
5-Jun-23,595,625,590,615,615,"9,064,200"
31-May-23,610,615,570,595,595,"14,669,600"
30-May-23,620,635,610,610,610,"3,961,400"
29-May-23,620,635,610,610,610,"4,781,800"
26-May-23,640,640,620,620,620,"4,733,400"
25-May-23,640,650,635,640,640,"4,673,600"
24-May-23,640,655,625,640,640,"6,492,900"
23-May-23,620,660,620,640,640,"4,875,100"
22-May-23,635,645,620,620,620,"5,321,400"
19-May-23,645,645,620,630,630,"6,854,400"
17-May-23,670,670,645,645,645,"5,422,000"
16-May-23,665,670,650,670,670,"6,786,000"
15-May-23,660,675,650,665,665,"5,849,400"
12-May-23,655,665,640,660,660,"5,071,600"
11-May-23,675,685,660,660,660,"6,632,200"
